"","Funnel Disciplines","Gender","Pinnacle Result","Pinnacle Time","worldsFlag","juniorsFlag","pinnacleFlag","Years Out from Games"
"1","K1 1000m","Men",2,209.72,TRUE,FALSE,TRUE,1
"2","K1 500m","Men",6,98.818,TRUE,FALSE,TRUE,1
"3","K2 1000m","Men",4,200.8,TRUE,FALSE,TRUE,1
"4","K4 500m","Women",3,108.16,TRUE,FALSE,TRUE,1
"5","K4 500m","Women",6,100.92,TRUE,FALSE,TRUE,2
"6","K4 500m","Women",5,102.06,TRUE,FALSE,TRUE,3
"7","K4 500m","Women",3,105.53,TRUE,FALSE,TRUE,5
"8","K4 500m","Women",3,NA,TRUE,FALSE,TRUE,6
"9","K4 500m","Women",3,NA,TRUE,FALSE,TRUE,10
"10","K1 500m","Women",2,126.29,TRUE,FALSE,TRUE,2
"11","K1 500m","Women",3,120.65,TRUE,FALSE,TRUE,3
"12","K1 500m","Women",6,121.33,FALSE,FALSE,TRUE,4
"13","K2 500m","Women",3,119.88,TRUE,FALSE,TRUE,1
"14","K2 500m","Women",3,119.48,TRUE,FALSE,TRUE,2
"15","K2 500m","Women",2,108.75,TRUE,FALSE,TRUE,3
"16","K2 500m","Women",5,109.27,FALSE,FALSE,TRUE,4
"17","K2 500m","Women",7,121.99,TRUE,FALSE,TRUE,5
"18","K4 500m","Women",4,108.87,TRUE,FALSE,TRUE,1
"19","K4 500m","Women",4,98.55,TRUE,FALSE,TRUE,2
"20","K4 500m","Women",3,100.94,TRUE,FALSE,TRUE,3
"21","K4 500m","Women",7,110.04,TRUE,FALSE,TRUE,5
"22","K1 1000m","Men",3,243.1,TRUE,FALSE,TRUE,1
"23","K1 1000m","Men",2,237.62,TRUE,FALSE,TRUE,2
"24","K1 1000m","Men",5,228.71,TRUE,FALSE,TRUE,3
"25","C2 1000m","Men",5,214.292,TRUE,FALSE,TRUE,1
"26","C2 1000m","Men",4,219.173,TRUE,FALSE,TRUE,2
"27","C2 1000m","Men",1,217.625,TRUE,TRUE,TRUE,3
"28","C2 1000m","Men",3,NA,TRUE,FALSE,TRUE,1
"29","C2 500m","Men",1,NA,TRUE,FALSE,TRUE,1
"30","C2 500m","Men",1,NA,TRUE,FALSE,TRUE,2
"31","K1 1000m","Men",1,NA,TRUE,FALSE,TRUE,2
"32","K2 1000m","Men",1,NA,TRUE,FALSE,TRUE,2
"33","K2 500m","Women",7,124.35,TRUE,FALSE,TRUE,1
"34","K2 500m","Women",5,122.1,TRUE,FALSE,TRUE,2
"35","K2 500m","Women",6,111.21,TRUE,FALSE,TRUE,3
"36","K4 500m","Women",5,100.11,TRUE,FALSE,TRUE,2
"37","K4 500m","Women",6,102.74,TRUE,FALSE,TRUE,3
"38","C2 1000m","Men",2,215.325,TRUE,FALSE,TRUE,1
"39","C2 1000m","Men",6,NA,TRUE,FALSE,TRUE,2
"40","C2 1000m","Men",5,222.941,TRUE,FALSE,TRUE,3
"41","C2 1000m","Men",4,221.267,FALSE,FALSE,TRUE,4
"42","C2 1000m","Men",1,218.999,TRUE,FALSE,TRUE,5
"43","C2 1000m","Men",1,236.028,TRUE,FALSE,TRUE,6
"44","C2 500m","Men",3,104.28,TRUE,FALSE,TRUE,2
"45","C2 500m","Men",4,105.303,TRUE,FALSE,TRUE,3
"46","C2 500m","Men",6,120.134,FALSE,FALSE,TRUE,4
"47","C2 500m","Men",3,105.068,TRUE,FALSE,TRUE,5
"48","C2 500m","Men",6,108.933,TRUE,FALSE,TRUE,6
"49","C2 1000m","Men",2,215.325,TRUE,FALSE,TRUE,1
"50","C2 1000m","Men",5,222.941,TRUE,FALSE,TRUE,3
"51","C2 1000m","Men",4,221.267,FALSE,FALSE,TRUE,4
"52","C2 1000m","Men",1,218.999,TRUE,FALSE,TRUE,5
"53","C2 1000m","Men",1,236.028,TRUE,FALSE,TRUE,6
"54","C2 500m","Men",4,105.303,TRUE,FALSE,TRUE,3
"55","C2 500m","Men",6,120.134,FALSE,FALSE,TRUE,4
"56","C2 500m","Men",3,105.068,TRUE,FALSE,TRUE,5
"57","C2 500m","Men",6,108.933,TRUE,FALSE,TRUE,6
"58","C1 200m","Men",3,39.687,TRUE,FALSE,TRUE,1
"59","C2 1000m","Men",5,229.475,TRUE,FALSE,TRUE,1
"60","C2 1000m","Men",10,213.588,FALSE,FALSE,TRUE,4
"61","K2 1000m","Men",6,237.12,TRUE,FALSE,TRUE,1
"62","K2 1000m","Men",2,217.45,TRUE,FALSE,TRUE,2
"63","K2 1000m","Men",5,203.62,TRUE,FALSE,TRUE,3
