"","Year","Discipline","Pinnacle Result","Pinnacle Time","Athlete","Gender","worldsFlag","juniorsFlag","pinnacleFlag","teamFlag","Years Out from Games"
"1",2018,"K4 500m",1,94.944,"Agnes Szabo","Women",TRUE,FALSE,TRUE,FALSE,2
"2",2015,"K2 1000m",20,NA,"Aiden Nossiter","Men",TRUE,FALSE,TRUE,FALSE,5
"3",2013,"K2 1000m",14,206.406,"Aiden Nossiter","Men",TRUE,TRUE,TRUE,FALSE,7
"4",2019,"K4 500m",4,95.35,"Aimee Fisher","Women",TRUE,FALSE,TRUE,FALSE,1
"5",2018,"K4 500m",2,93.771,"Aimee Fisher","Women",TRUE,FALSE,TRUE,FALSE,2
"6",2018,"K1 500m",2,109.08,"Aimee Fisher","Women",TRUE,FALSE,TRUE,FALSE,2
"7",2018,"K1 200m",6,40.234,"Aimee Fisher","Women",TRUE,FALSE,TRUE,FALSE,2
"8",2017,"K4 500m",3,90.215,"Aimee Fisher","Women",TRUE,FALSE,TRUE,FALSE,3
"9",2017,"K1 200m",1,40.096,"Aimee Fisher","Women",TRUE,FALSE,TRUE,FALSE,3
"10",2017,"K1 500m",1,108.948,"Aimee Fisher","Women",TRUE,FALSE,TRUE,FALSE,3
"11",2016,"K4 500m",5,NA,"Aimee Fisher","Women",FALSE,FALSE,TRUE,FALSE,4
"12",2015,"K4 500m",9,97.698,"Aimee Fisher","Women",TRUE,FALSE,TRUE,FALSE,5
"13",2014,"K4 500m",14,95.063,"Aimee Fisher","Women",TRUE,FALSE,TRUE,FALSE,6
"14",2013,"K1 200m",5,42.512,"Aimee Fisher","Women",TRUE,TRUE,TRUE,FALSE,7
"15",2013,"K2 500m",3,104.601,"Aimee Fisher","Women",TRUE,TRUE,TRUE,FALSE,7
"16",2013,"K4 500m",6,99.046,"Aimee Fisher","Women",TRUE,TRUE,TRUE,FALSE,7
"17",2011,"K4 500m",15,107.16,"Aimee Fisher","Women",TRUE,TRUE,TRUE,FALSE,9
"18",2018,"K4 500m",11,100.179,"Alex Bermingham","Women",TRUE,TRUE,TRUE,FALSE,2
"19",2017,"K2 500m",22,129.716,"Alex Bermingham","Women",TRUE,TRUE,TRUE,FALSE,3
"20",2017,"K4 500m",13,108.528,"Alex Bermingham","Women",TRUE,TRUE,TRUE,FALSE,3
"21",2015,"K2 1000m",23,NA,"Alex Bristow","Men",TRUE,TRUE,TRUE,FALSE,5
"22",2011,"K2 1000m",22,221.95,"Alex Fort","Men",TRUE,TRUE,TRUE,FALSE,9
"23",2019,"K2 500m",9,107.63,"Alicia Hoskin","Women",TRUE,FALSE,TRUE,FALSE,1
"24",2019,"K4 500m",8,102.808,"Alicia Hoskin","Women",TRUE,FALSE,TRUE,FALSE,1
"25",2018,"K1 500m",10,115.811,"Alicia Hoskin","Women",TRUE,TRUE,TRUE,FALSE,2
"26",2018,"K2 500m",10,107.328,"Alicia Hoskin","Women",TRUE,TRUE,TRUE,FALSE,2
"27",2015,"K1 200m",32,39.18,"Andrew Roy","Men",TRUE,FALSE,TRUE,FALSE,5
"28",2011,"K1 200m",31,40.48,"Andrew Roy","Men",TRUE,TRUE,TRUE,FALSE,9
"29",2018,"K4 500m",13,81.296,"Ashton Reiser","Men",TRUE,FALSE,TRUE,FALSE,2
"30",2019,"K4 500m",16,90.919,"Ben Duffy","Men",TRUE,FALSE,TRUE,FALSE,1
"31",2017,"K4 500m",9,84.508,"Ben Duffy","Men",TRUE,FALSE,TRUE,FALSE,3
"32",2013,"K1 1000m",31,228.782,"Ben Fouhy","Men",TRUE,FALSE,TRUE,FALSE,7
"33",2012,"K1 1000m",14,214.71,"Ben Fouhy","Men",FALSE,FALSE,TRUE,FALSE,8
"34",2011,"K1 1000m",9,228.182,"Ben Fouhy","Men",TRUE,FALSE,TRUE,FALSE,9
"35",2010,"K1 1000m",12,218.429,"Ben Fouhy","Men",TRUE,FALSE,TRUE,FALSE,10
"36",2017,"K1 500m",16,109.208,"Ben McCallum","Men",TRUE,TRUE,TRUE,FALSE,3
"37",2017,"K1 1000m",21,235.616,"Ben McCallum","Men",TRUE,TRUE,TRUE,FALSE,3
"38",2019,"K4 500m",8,102.808,"Briar McLeely","Women",TRUE,FALSE,TRUE,FALSE,1
"39",2015,"K2 500m",11,112.38,"Briar McLeely","Women",TRUE,FALSE,TRUE,FALSE,5
"40",2015,"K4 500m",9,97.912,"Briar McLeely","Women",TRUE,FALSE,TRUE,FALSE,5
"41",2014,"K2 500m",14,116.717,"Briar McLeely","Women",TRUE,TRUE,TRUE,FALSE,6
"42",2019,"K4 500m",8,102.808,"Britney Ford","Women",TRUE,FALSE,TRUE,FALSE,1
"43",2018,"K4 500m",9,101.596,"Britney Ford","Women",TRUE,FALSE,TRUE,FALSE,2
"44",2017,"K4 500m",8,106.644,"Britney Ford","Women",TRUE,FALSE,TRUE,FALSE,3
"45",2015,"K1 200m",28,49.436,"Britney Ford","Women",TRUE,TRUE,TRUE,FALSE,5
"46",2015,"K4 500m",16,105.884,"Britney Ford","Women",TRUE,TRUE,TRUE,FALSE,5
"47",2014,"K2 500m",14,116.717,"Britney Ford","Women",TRUE,TRUE,TRUE,FALSE,6
"48",2018,"K4 500m",11,100.179,"Brooklyn Saunders","Women",TRUE,TRUE,TRUE,FALSE,2
"49",2017,"K2 500m",22,129.716,"Brooklyn Saunders","Women",TRUE,TRUE,TRUE,FALSE,3
"50",2019,"K4 500m",4,95.35,"Caitlin Ryan","Women",TRUE,FALSE,TRUE,FALSE,1
"51",2019,"K2 500m",9,107.63,"Caitlin Ryan","Women",TRUE,FALSE,TRUE,FALSE,1
"52",2018,"K4 500m",2,93.771,"Caitlin Ryan","Women",TRUE,FALSE,TRUE,FALSE,2
"53",2018,"K2 500m",2,103.088,"Caitlin Ryan","Women",TRUE,FALSE,TRUE,FALSE,2
"54",2017,"K4 500m",3,90.215,"Caitlin Ryan","Women",TRUE,FALSE,TRUE,FALSE,3
"55",2017,"K2 500m",1,98.687,"Caitlin Ryan","Women",TRUE,FALSE,TRUE,FALSE,3
"56",2016,"K4 500m",5,NA,"Caitlin Ryan","Women",FALSE,FALSE,TRUE,FALSE,4
"57",2015,"K4 500m",9,97.698,"Caitlin Ryan","Women",TRUE,FALSE,TRUE,FALSE,5
"58",2014,"K4 500m",14,95.063,"Caitlin Ryan","Women",TRUE,FALSE,TRUE,FALSE,6
"59",2013,"K1 500m",8,111.724,"Caitlin Ryan","Women",TRUE,FALSE,TRUE,FALSE,7
"60",2019,"K4 500m",19,112.986,"Cass Hetherington","Women",TRUE,TRUE,TRUE,FALSE,1
"61",2015,"K2 500m",22,124.532,"Cassandra Wilson","Women",TRUE,TRUE,TRUE,FALSE,5
"62",2011,"K2 500m",30,103.09,"Cory Taylor","Men",TRUE,TRUE,TRUE,FALSE,9
"63",2011,"K2 1000m",22,221.95,"Cory Taylor","Men",TRUE,TRUE,TRUE,FALSE,9
"64",2015,"K4 500m",16,105.884,"Courtney Hoskin","Women",TRUE,TRUE,TRUE,FALSE,5
"65",2015,"K1 500m",19,131.228,"Danielle Currie","Women",TRUE,FALSE,TRUE,FALSE,5
"66",2015,"K4 500m",9,97.912,"Danielle Currie","Women",TRUE,FALSE,TRUE,FALSE,5
"67",2014,"K4 500m",12,97.139,"Danielle Currie","Women",TRUE,FALSE,TRUE,FALSE,6
"68",2013,"K1 500m",12,120.512,"Danielle Currie","Women",TRUE,TRUE,TRUE,FALSE,7
"69",2013,"K4 500m",6,99.046,"Danielle Currie","Women",TRUE,TRUE,TRUE,FALSE,7
"70",2011,"K4 500m",15,107.16,"Danielle Currie","Women",TRUE,TRUE,TRUE,FALSE,9
"71",2011,"K2 1000m",16,247.4,"Danielle Currie","Women",TRUE,TRUE,TRUE,FALSE,9
"72",2019,"K4 500m",8,102.808,"Danielle Watson","Women",TRUE,FALSE,TRUE,FALSE,1
"73",2018,"K2 500m",11,106.744,"Danielle Watson","Women",TRUE,FALSE,TRUE,FALSE,2
"74",2018,"K4 500m",9,101.596,"Danielle Watson","Women",TRUE,FALSE,TRUE,FALSE,2
"75",2017,"K1 500m",16,123.98,"Danielle Watson","Women",TRUE,TRUE,TRUE,FALSE,3
"76",2017,"K4 500m",13,108.528,"Danielle Watson","Women",TRUE,TRUE,TRUE,FALSE,3
"77",2015,"K2 1000m",25,205.24,"Darryl Fitzgerald","Men",TRUE,FALSE,TRUE,FALSE,5
