Date,Year,Competition,CompetitionSet,Comp.SetDetail,Sport,Discipline,Gender,Class,Phase,Rank,Medal,Team Members,Person/Team,Person,Person First Name,Person Last Name,PersonGender,Team,Nationality,DoB,YoB,Age (days),Age,Country,Country Code,Continent,Result,Sec/Mtr/Pts,Host City,Host Country,Host Continent,# Participants,# Countries,# Continents,World Ranking,Rank Within Country,Is Olympic Discipline
20-Aug-2016,2016,Olympic Games,Summer Games,Olympic Games,Canoe Sprint,C2 1000m,Men,Seniors,,1,G,No,Brendel / Vandrey,,,,,Brendel / Vandrey,,,,26-208,26,Germany,GER,Europe,3:43.912,223.912,Rio de Janeiro,Brazil,South America,11,11,6,,1,Yes
20-Aug-2016,2016,Olympic Games,Summer Games,Olympic Games,Canoe Sprint,C2 1000m,Men,Seniors,,1,G,Yes,"Sebastian Brendel (GER, 12 Mar 1988)",Sebastian Brendel,Sebastian,Brendel,Men,Brendel / Vandrey,GER,12-Mar-1988,,28-161,28,Germany,GER,Europe,,,Rio de Janeiro,Brazil,South America,11,11,6,,1,Yes
20-Aug-2016,2016,Olympic Games,Summer Games,Olympic Games,Canoe Sprint,C2 1000m,Men,Seniors,,1,G,Yes,"Jan Vandrey (GER, 11 Dec 1991)",Jan Vandrey,Jan,Vandrey,Men,Brendel / Vandrey,GER,11-Dec-1991,,24-253,24,Germany,GER,Europe,,,Rio de Janeiro,Brazil,South America,11,11,6,,1,Yes
20-Aug-2016,2016,Olympic Games,Summer Games,Olympic Games,Canoe Sprint,C2 1000m,Men,Seniors,,2,S,No,Souza / Queiroz Dos Santos,,,,,Souza / Queiroz Dos Santos,,,,23-328,23,Brazil,BRA,South America,3:44.819,224.819,Rio de Janeiro,Brazil,South America,11,11,6,,1,Yes
20-Aug-2016,2016,Olympic Games,Summer Games,Olympic Games,Canoe Sprint,C2 1000m,Men,Seniors,,2,S,Yes,"Erlon Souza (BRA, 23 Jun 1991)",Erlon Souza,Erlon,Souza,Men,Souza / Queiroz Dos Santos,BRA,23-Jun-1991,,25-058,25,Brazil,BRA,South America,,,Rio de Janeiro,Brazil,South America,11,11,6,,1,Yes
20-Aug-2016,2016,Olympic Games,Summer Games,Olympic Games,Canoe Sprint,C2 1000m,Men,Seniors,,2,S,Yes,"Isaquias Queiroz Dos Santos (BRA, 03 Jan 1994)",Isaquias Queiroz Dos Santos,Isaquias,Queiroz Dos Santos,Men,Souza / Queiroz Dos Santos,BRA,03-Jan-1994,,22-230,22,Brazil,BRA,South America,,,Rio de Janeiro,Brazil,South America,11,11,6,,1,Yes
20-Aug-2016,2016,Olympic Games,Summer Games,Olympic Games,Canoe Sprint,C2 1000m,Men,Seniors,,3,B,No,Ianchuk / Mishchuk,,,,,Ianchuk / Mishchuk,,,,22-154,22,Ukraine,UKR,Europe,3:45.949,225.949,Rio de Janeiro,Brazil,South America,11,11,6,,1,Yes
20-Aug-2016,2016,Olympic Games,Summer Games,Olympic Games,Canoe Sprint,C2 1000m,Men,Seniors,,3,B,Yes,"Dmytro Ianchuk (UKR, 14 Nov 1992)",Dmytro Ianchuk,Dmytro,Ianchuk,Men,Ianchuk / Mishchuk,UKR,14-Nov-1992,,23-280,23,Ukraine,UKR,Europe,,,Rio de Janeiro,Brazil,South America,11,11,6,,1,Yes
20-Aug-2016,2016,Olympic Games,Summer Games,Olympic Games,Canoe Sprint,C2 1000m,Men,Seniors,,3,B,Yes,"Taras Mishchuk (UKR, 22 Jul 1995)",Taras Mishchuk,Taras,Mishchuk,Men,Ianchuk / Mishchuk,UKR,22-Jul-1995,,21-029,21,Ukraine,UKR,Europe,,,Rio de Janeiro,Brazil,South America,11,11,6,,1,Yes
20-Aug-2016,2016,Olympic Games,Summer Games,Olympic Games,Canoe Sprint,K1 200m,Men,Seniors,,1,G,No,"Liam Heath (ENG, 17 Aug 1984)",Liam Heath,Liam,Heath,Men,Great Britain,ENG,17-Aug-1984,,32-003,32,Great Britain,GBR,Europe,35.197,35.197,Rio de Janeiro,Brazil,South America,22,22,6,,1,Yes
20-Aug-2016,2016,Olympic Games,Summer Games,Olympic Games,Canoe Sprint,K1 200m,Men,Seniors,,2,S,No,"Maxime Beaumont (FRA, 23 Apr 1982)",Maxime Beaumont,Maxime,Beaumont,Men,France,FRA,23-Apr-1982,,34-119,34,France,FRA,Europe,35.362,35.362,Rio de Janeiro,Brazil,South America,22,22,6,,1,Yes
20-Aug-2016,2016,Olympic Games,Summer Games,Olympic Games,Canoe Sprint,K1 200m,Men,Seniors,,3,B,No,"Ronald Rauhe (GER, 03 Oct 1981)",Ronald Rauhe,Ronald,Rauhe,Men,Germany,GER,03-Oct-1981,,34-322,34,Germany,GER,Europe,35.662,35.662,Rio de Janeiro,Brazil,South America,22,22,6,,1,Yes
20-Aug-2016,2016,Olympic Games,Summer Games,Olympic Games,Canoe Sprint,K1 200m,Men,Seniors,,3,B,No,"Saúl Craviotto (ESP, 03 Nov 1984)",Saúl Craviotto,Saúl,Craviotto,Men,Spain,ESP,03-Nov-1984,,31-291,31,Spain,ESP,Europe,35.662,35.662,Rio de Janeiro,Brazil,South America,22,22,6,,1,Yes
20-Aug-2016,2016,Olympic Games,Summer Games,Olympic Games,Canoe Sprint,K4 500m,Women,Seniors,,1,G,No,Hungary,,,,,Hungary,,,,30-244,30,Hungary,HUN,Europe,1:31.482,91.482,Rio de Janeiro,Brazil,South America,14,14,5,,1,Yes
20-Aug-2016,2016,Olympic Games,Summer Games,Olympic Games,Canoe Sprint,K4 500m,Women,Seniors,,1,G,Yes,"Gabriella Szabo (HUN, 14 Aug 1986)",Gabriella Szabo,Gabriella,Szabo,Women,Hungary,HUN,14-Aug-1986,,30-006,30,Hungary,HUN,Europe,,,Rio de Janeiro,Brazil,South America,14,14,5,,1,Yes
