"","Funnel Disciplines","Pinnacle Result","Pinnacle Time","worldsFlag","juniorsFlag","pinnacleFlag","Years Out from Games"
"1","Team Pursuit",3,NA,TRUE,TRUE,FALSE,4
"2","Team Pursuit",3,244.093,TRUE,FALSE,TRUE,1
"3","Team Pursuit",10,NA,TRUE,FALSE,TRUE,2
"4","Team Pursuit",9,255.225,TRUE,FALSE,TRUE,3
"5","Team Pursuit",3,NA,TRUE,FALSE,TRUE,1
"6","Team Pursuit",1,237.907,TRUE,FALSE,TRUE,2
"7","Team Pursuit",1,236.751,TRUE,FALSE,TRUE,3
"8","Team Pursuit",1,242.632,TRUE,TRUE,TRUE,5
"9","Team Pursuit",4,NA,TRUE,FALSE,TRUE,1
"10","Team Pursuit",1,NA,TRUE,FALSE,TRUE,2
"11","Team Pursuit",2,NA,TRUE,FALSE,TRUE,3
"12","Team Pursuit",7,NA,FALSE,FALSE,TRUE,4
"13","Team Pursuit",1,NA,TRUE,FALSE,TRUE,2
"14","Team Pursuit",2,NA,TRUE,FALSE,TRUE,3
"15","Team Pursuit",7,NA,FALSE,FALSE,TRUE,4
"16","Team Pursuit",2,NA,TRUE,FALSE,TRUE,5
"17","Team Pursuit",3,257.864,TRUE,FALSE,TRUE,1
"18","Team Pursuit",2,264.696,TRUE,FALSE,TRUE,2
"19","Team Sprint",2,32.438,TRUE,FALSE,TRUE,1
"20","Team Sprint",4,33.154,TRUE,FALSE,TRUE,2
"21","Team Sprint",6,33.901,TRUE,FALSE,TRUE,3
"22","Team Sprint",6,33.44,TRUE,FALSE,FALSE,4
"23","Team Sprint",1,44.873,TRUE,TRUE,TRUE,5
"24","Team Sprint",1,35.029,TRUE,TRUE,TRUE,6
"25","Team Sprint",1,33.237,TRUE,FALSE,TRUE,1
"26","Team Sprint",1,32.923,TRUE,FALSE,TRUE,2
"27","Team Sprint",1,33.149,TRUE,FALSE,TRUE,3
"28","Team Sprint",3,NA,TRUE,FALSE,TRUE,5
"29","Keirin",1,NA,TRUE,FALSE,TRUE,1
"30","Keirin",2,NA,TRUE,FALSE,TRUE,2
"31","Keirin",5,NA,FALSE,FALSE,TRUE,4
"32","Keirin",1,NA,TRUE,FALSE,FALSE,4
"33","Keirin",1,NA,TRUE,FALSE,TRUE,5
"34","Keirin",7,NA,TRUE,FALSE,TRUE,6
"35","Keirin",5,NA,TRUE,FALSE,TRUE,7
"36","Sprint",2,NA,TRUE,FALSE,TRUE,1
"37","Team Sprint",1,NA,TRUE,FALSE,TRUE,1
"38","Team Sprint",1,NA,TRUE,FALSE,TRUE,2
"39","Team Sprint",1,NA,TRUE,FALSE,TRUE,3
"40","Team Pursuit",7,249.17,TRUE,FALSE,TRUE,1
"41","Team Pursuit",8,NA,TRUE,FALSE,TRUE,3
"42","Keirin",3,NA,TRUE,FALSE,TRUE,1
"43","Keirin",6,NA,FALSE,FALSE,TRUE,4
"44","Keirin",9,NA,TRUE,FALSE,FALSE,4
"45","Keirin",2,NA,TRUE,FALSE,TRUE,6
"46","Keirin",11,NA,TRUE,FALSE,TRUE,7
"47","Keirin",10,NA,FALSE,FALSE,TRUE,8
"48","Keirin",12,NA,TRUE,FALSE,FALSE,8
"49","Team Pursuit",1,NA,TRUE,FALSE,TRUE,1
"50","Team Pursuit",6,NA,TRUE,FALSE,TRUE,1
"51","Madison",4,13,FALSE,FALSE,TRUE,4
"52","Madison",6,NA,TRUE,FALSE,TRUE,3
"53","Madison",4,NA,TRUE,FALSE,TRUE,5
"54","Team Pursuit",1,237.28,TRUE,FALSE,TRUE,1
"55","Team Pursuit",1,240.362,TRUE,FALSE,TRUE,2
"56","Team Pursuit",5,NA,FALSE,FALSE,TRUE,4
"57","Team Pursuit",5,NA,TRUE,FALSE,TRUE,5
"58","Team Pursuit",6,NA,TRUE,FALSE,TRUE,6
"59","Madison",1,NA,TRUE,FALSE,TRUE,1
"60","Madison",11,5,FALSE,FALSE,TRUE,4
"61","Madison",5,NA,TRUE,FALSE,TRUE,7
"62","Madison",4,NA,TRUE,FALSE,FALSE,8
"63","Omnium",8,56,TRUE,FALSE,TRUE,1
"64","Omnium",1,15,TRUE,TRUE,TRUE,2
"65","Omnium",1,21,TRUE,TRUE,TRUE,3
"66","Team Pursuit",6,NA,TRUE,FALSE,TRUE,1
"67","Team Pursuit",7,NA,TRUE,FALSE,FALSE,4
"68","Team Pursuit",10,NA,FALSE,FALSE,TRUE,4
"69","Team Pursuit",8,NA,TRUE,FALSE,TRUE,5
"70","Team Pursuit",5,254.35,FALSE,FALSE,TRUE,8
"71","Team Pursuit",1,NA,TRUE,TRUE,TRUE,2
"72","Team Pursuit",1,246.182,TRUE,TRUE,TRUE,3
"73","Sprint",23,NA,TRUE,FALSE,TRUE,1
"74","Sprint",12,NA,TRUE,TRUE,TRUE,7
"75","Team Sprint",8,43.808,TRUE,FALSE,TRUE,1
"76","Team Sprint",7,61.528,TRUE,TRUE,TRUE,7
"77","Team Pursuit",7,249.17,TRUE,FALSE,TRUE,1
"78","Team Pursuit",5,NA,TRUE,FALSE,FALSE,4
"79","Team Pursuit",8,NA,TRUE,FALSE,TRUE,5
"80","Team Pursuit",3,244.093,TRUE,FALSE,TRUE,1
"81","Team Pursuit",10,NA,TRUE,FALSE,TRUE,2
"82","Team Pursuit",9,255.225,TRUE,FALSE,TRUE,3
"83","Team Pursuit",11,NA,TRUE,FALSE,TRUE,1
"84","Team Pursuit",2,239.623,TRUE,FALSE,TRUE,2
"85","Team Pursuit",3,239.821,TRUE,FALSE,TRUE,3
"86","Team Pursuit",5,NA,FALSE,FALSE,TRUE,4
"87","Team Pursuit",7,243.237,TRUE,FALSE,FALSE,4
"88","Team Pursuit",10,NA,TRUE,TRUE,TRUE,5
"89","Team Pursuit",13,NA,TRUE,TRUE,TRUE,6
"90","Team Sprint",2,NA,TRUE,FALSE,TRUE,1
"91","Team Sprint",6,NA,TRUE,FALSE,TRUE,3
"92","Keirin",1,NA,TRUE,FALSE,TRUE,1
"93","Keirin",18,NA,FALSE,FALSE,TRUE,8
"94","Team Pursuit",10,NA,FALSE,FALSE,TRUE,4
"95","Team Pursuit",8,NA,TRUE,FALSE,TRUE,5
