Date,PhaseName,Rank,Medal,Person/Team,Country, ,Age (days),Result
16-Aug-2016,Cycling - Track 500m Time Trial Women - Olympic Games 2016 500m Time Trial,3,,"Laurie Berthon (FRA, 26 Aug 1991)",France,,24-356,35.275
16-Aug-2016,Cycling - Track Flying Lap Women - Olympic Games 2016 Flying Lap,3,,"Laurie Berthon (FRA, 26 Aug 1991)",France,,24-356,13.903
16-Aug-2016,Cycling - Track Keirin Men - Olympic Games 2016,3,B,"Azizul Hasni Awang (MAS, 05 Jan 1988)",Malaysia,,28-224,
16-Aug-2016,Cycling - Track Omnium Women - Olympic Games 2016,3,B,"Jolien D'hoore (BEL, 14 Mar 1990)",Belgium,,26-155,199
16-Aug-2016,Cycling - Track Points Race Women - Olympic Games 2016 Points Race,3,,"Marlies Mejías (CUB, 29 Dec 1992)",Cuba,,23-231,73
16-Aug-2016,Cycling - Track Sprint Women - Olympic Games 2016,3,B,"Katy Marchant (ENG, 30 Jan 1993)",Great Britain,,23-199,
15-Aug-2016,Cycling - Track 1km Time Trial Men - Olympic Games 2016 1km Time Trial,3,,"Elia Viviani (ITA, 07 Feb 1989)",Italy,,27-190,1:02.338
15-Aug-2016,Cycling - Track 3km Individual Pursuit Women - Olympic Games 2016 3km Individual Pursuit,3,,"Jolien D'hoore (BEL, 14 Mar 1990)",Belgium,,26-154,3:30.202
15-Aug-2016,Cycling - Track Elimination Women - Olympic Games 2016 Elimination,3,,"Sarah Hammer (USA, 18 Aug 1983)",United States,,32-363,
15-Aug-2016,Cycling - Track Flying Lap Men - Olympic Games 2016 Flying Lap,3,,"Mark Cavendish (IOM, 21 May 1985)",Great Britain,,31-086,12.793
15-Aug-2016,Cycling - Track Omnium Men - Olympic Games 2016,3,B,"Lasse Hansen (DEN, 11 Feb 1992)",Denmark,,24-186,192
15-Aug-2016,Cycling - Track Points Race Men - Olympic Games 2016 Points Race,3,,"Roger Kluge (GER, 05 Feb 1986)",Germany,,30-192,33
15-Aug-2016,Cycling - Track Scratch Women - Olympic Games 2016 Scratch,3,,"Jolien D'hoore (BEL, 14 Mar 1990)",Belgium,,26-154,
14-Aug-2016,Cycling - Track 4km Individual Pursuit Men - Olympic Games 2016 4km Individual Pursuit,3,,"Elia Viviani (ITA, 07 Feb 1989)",Italy,,27-189,4:17.453
14-Aug-2016,Cycling - Track Elimination Men - Olympic Games 2016 Elimination,3,,"Fernando Gaviria (COL, 19 Aug 1994)",Colombia,,21-361,
14-Aug-2016,Cycling - Track Scratch Men - Olympic Games 2016 Scratch,3,,"Thomas Boudat (FRA, 24 Feb 1994)",France,,22-172,
14-Aug-2016,Cycling - Track Sprint Men - Olympic Games 2016,3,B,"Denis Dmitriev (RUS, 23 Mar 1986)",Russia,,30-144,
13-Aug-2016,Cycling - Track Keirin Women - Olympic Games 2016,3,B,"Anna Meares (AUS, 21 Sep 1983)",Australia,,32-327,
13-Aug-2016,Cycling - Track Team Pursuit Women - Olympic Games 2016,3,B,Canada,Canada,,26-204,4:14.627
13-Aug-2016,Cycling - Track Team Pursuit Women - Olympic Games 2016,3,B,"Allison Beveridge (CAN, 01 Jun 1993)",Canada,,23-073,
13-Aug-2016,Cycling - Track Team Pursuit Women - Olympic Games 2016,3,B,"Jasmin Duehring (CAN, 08 Jul 1992)",Canada,,24-036,
13-Aug-2016,Cycling - Track Team Pursuit Women - Olympic Games 2016,3,B,"Kirsti Lay (CAN, 07 Apr 1988)",Canada,,28-128,
13-Aug-2016,Cycling - Track Team Pursuit Women - Olympic Games 2016,3,B,"Georgia Simmerling (CAN, 11 Mar 1989)",Canada,,27-155,
13-Aug-2016,Cycling - Track Team Pursuit Women - Olympic Games 2016,3,B,"Laura Brown (CAN, 27 Nov 1986)",Canada,,29-260,
12-Aug-2016,Cycling - Track Team Pursuit Men - Olympic Games 2016,3,B,Denmark,Denmark,,22-177,3:53.789
12-Aug-2016,Cycling - Track Team Pursuit Men - Olympic Games 2016,3,B,"Lasse Hansen (DEN, 11 Feb 1992)",Denmark,,24-183,
12-Aug-2016,Cycling - Track Team Pursuit Men - Olympic Games 2016,3,B,"Niklas Larsen (DEN, 22 Mar 1997)",Denmark,,19-143,
12-Aug-2016,Cycling - Track Team Pursuit Men - Olympic Games 2016,3,B,"Frederik Rodenberg (DEN, 22 Jan 1998)",Denmark,,18-203,
12-Aug-2016,Cycling - Track Team Pursuit Men - Olympic Games 2016,3,B,"Casper von Folsach (DEN, 30 Mar 1993)",Denmark,,23-135,
12-Aug-2016,Cycling - Track Team Pursuit Men - Olympic Games 2016,3,B,"Rasmus Quaade (DEN, 07 Jan 1990)",Denmark,,26-218,
12-Aug-2016,Cycling - Track Team Sprint Women - Olympic Games 2016,3,B,Welte / Vogel,Germany,,27-262,32.636
12-Aug-2016,Cycling - Track Team Sprint Women - Olympic Games 2016,3,B,"Miriam Welte (GER, 09 Dec 1986)",Germany,,29-247,
12-Aug-2016,Cycling - Track Team Sprint Women - Olympic Games 2016,3,B,"Kristina Vogel (GER, 10 Nov 1990)",Germany,,25-276,
11-Aug-2016,Cycling - Track Team Sprint Men - Olympic Games 2016,3,B,France,France,,30-279,43.143
11-Aug-2016,Cycling - Track Team Sprint Men - Olympic Games 2016,3,B,"Gregory Benoit Bauge (FRA, 31 Jan 1985)",France,,31-193,
11-Aug-2016,Cycling - Track Team Sprint Men - Olympic Games 2016,3,B,"François Pervis (FRA, 16 Oct 1984)",France,,31-300,
11-Aug-2016,Cycling - Track Team Sprint Men - Olympic Games 2016,3,B,"Michaël D'Almeida (FRA, 03 Sep 1987)",France,,28-343,
07-Aug-2012,Cycling - Track 3km Individual Pursuit Women - Olympic Games 2012 3km Individual Pursuit,3,,"Tara Whitten (CAN, 13 Jul 1980)",Canada,,32-025,3:31.114
07-Aug-2012,Cycling - Track 500m Time Trial Women - Olympic Games 2012 500m Time Trial,3,,"Clara Sanchez (FRA, 20 Sep 1983)",France,,28-322,35.451
07-Aug-2012,Cycling - Track Keirin Men - Olympic Games 2012,3,B,"Simon Van Velthooven (NZL, 08 Dec 1988)",New Zealand,,23-243,
07-Aug-2012,Cycling - Track Keirin Men - Olympic Games 2012,3,B,"Teun Mulder (NED, 18 Jun 1981)",Netherlands,,31-050,
07-Aug-2012,Cycling - Track Omnium Women - Olympic Games 2012,3,B,"Annette Edmondson (AUS, 12 Dec 1991)",Australia,,20-239,24
07-Aug-2012,Cycling - Track Scratch Women - Olympic Games 2012 Scratch,3,,"Laura Kenny (ENG, 24 Apr 1992)",Great Britain,,20-105,
07-Aug-2012,Cycling - Track Sprint Women - Olympic Games 2012,3,B,"Guo Shuang (CHN, 26 Feb 1986)",China,,26-163,
06-Aug-2012,Cycling - Track Elimination Women - Olympic Games 2012 Elimination,3,,"Annette Edmondson (AUS, 12 Dec 1991)",Australia,,20-238,
06-Aug-2012,Cycling - Track Flying Lap Women - Olympic Games 2012 Flying Lap,3,,"Annette Edmondson (AUS, 12 Dec 1991)",Australia,,20-238,14.261
06-Aug-2012,Cycling - Track Points Race Women - Olympic Games 2012 Points Race,3,,"Tara Whitten (CAN, 13 Jul 1980)",Canada,,32-024,28
06-Aug-2012,Cycling - Track Sprint Men - Olympic Games 2012,3,B,"Shane Perkins (RUS, 30 Dec 1986)",Australia,,25-220,
05-Aug-2012,Cycling - Track 1km Time Trial Men - Olympic Games 2012 1km Time Trial,3,,"Glenn O'Shea (AUS, 14 Jun 1989)",Australia,,23-052,1:02.513
05-Aug-2012,Cycling - Track 4km Individual Pursuit Men - Olympic Games 2012 4km Individual Pursuit,3,,"Glenn O'Shea (AUS, 14 Jun 1989)",Australia,,23-052,4:24.811
05-Aug-2012,Cycling - Track Omnium Men - Olympic Games 2012,3,B,"Ed Clancy (ENG, 12 Mar 1985)",Great Britain,,27-146,30
05-Aug-2012,Cycling - Track Scratch Men - Olympic Games 2012 Scratch,3,,"Bryan Coquard (FRA, 25 Apr 1992)",France,,20-102,
04-Aug-2012,Cycling - Track Elimination Men - Olympic Games 2012 Elimination,3,,"Glenn O'Shea (AUS, 14 Jun 1989)",Australia,,23-051,
04-Aug-2012,Cycling - Track Flying Lap Men - Olympic Games 2012 Flying Lap,3,,"Glenn O'Shea (AUS, 14 Jun 1989)",Australia,,23-051,13.222
04-Aug-2012,Cycling - Track Points Race Men - Olympic Games 2012 Points Race,3,,"Eloy Teruel (ESP, 20 Nov 1982)",Spain,,29-258,55
04-Aug-2012,Cycling - Track Team Pursuit Women - Olympic Games 2012,3,B,Canada,Canada,,24-342,3:17.915
04-Aug-2012,Cycling - Track Team Pursuit Women - Olympic Games 2012,3,B,"Tara Whitten (CAN, 13 Jul 1980)",Canada,,32-022,
04-Aug-2012,Cycling - Track Team Pursuit Women - Olympic Games 2012,3,B,"Gillian Carleton (CAN, 03 Dec 1989)",Canada,,22-245,
04-Aug-2012,Cycling - Track Team Pursuit Women - Olympic Games 2012,3,B,"Jasmin Duehring (CAN, 08 Jul 1992)",Canada,,20-027,
03-Aug-2012,Cycling - Track Keirin Women - Olympic Games 2012,3,B,"Lee Wai Sze (HKG, 12 May 1987)","Hong Kong, China",,25-083,
03-Aug-2012,Cycling - Track Team Pursuit Men - Olympic Games 2012,3,B,New Zealand,New Zealand,,24-354,3:55.952
03-Aug-2012,Cycling - Track Team Pursuit Men - Olympic Games 2012,3,B,"Sam Bewley (NZL, 22 Jul 1987)",New Zealand,,25-012,
03-Aug-2012,Cycling - Track Team Pursuit Men - Olympic Games 2012,3,B,"Marc Ryan (NZL, 14 Oct 1982)",New Zealand,,29-294,
03-Aug-2012,Cycling - Track Team Pursuit Men - Olympic Games 2012,3,B,"Jesse Sergent (NZL, 08 Jul 1988)",New Zealand,,24-026,
03-Aug-2012,Cycling - Track Team Pursuit Men - Olympic Games 2012,3,B,"Aaron Gate (NZL, 26 Nov 1990)",New Zealand,,21-251,
03-Aug-2012,Cycling - Track Team Pursuit Men - Olympic Games 2012,3,B,"Westley Gough (NZL, 04 May 1988)",New Zealand,,24-091,
02-Aug-2012,Cycling - Track Team Sprint Men - Olympic Games 2012,3,B,Germany,Germany,,25-242,43.209
02-Aug-2012,Cycling - Track Team Sprint Men - Olympic Games 2012,3,B,"René Enders (GER, 13 Feb 1987)",Germany,,25-171,
02-Aug-2012,Cycling - Track Team Sprint Men - Olympic Games 2012,3,B,"Robert Förstemann (GER, 05 Mar 1986)",Germany,,26-150,
02-Aug-2012,Cycling - Track Team Sprint Men - Olympic Games 2012,3,B,"Maximilian Levy (GER, 26 Jun 1987)",Germany,,25-037,
02-Aug-2012,Cycling - Track Team Sprint Women - Olympic Games 2012,3,B,A. Meares / McCulloch,Australia,,26-256,32.727
02-Aug-2012,Cycling - Track Team Sprint Women - Olympic Games 2012,3,B,"Anna Meares (AUS, 21 Sep 1983)",Australia,,28-316,
02-Aug-2012,Cycling - Track Team Sprint Women - Olympic Games 2012,3,B,"Kaarle McCulloch (AUS, 20 Jan 1988)",Australia,,24-195,
19-Aug-2008,Cycling - Track Madison Men - Olympic Games 2008,3,B,Markov / M. Ignatiev,Russia,,26-095,
19-Aug-2008,Cycling - Track Madison Men - Olympic Games 2008,3,B,"Mikhail Ignatiev (RUS, 07 May 1985)",Russia,,23-104,
19-Aug-2008,Cycling - Track Madison Men - Olympic Games 2008,3,B,"Alexei Markov (RUS, 26 May 1979)",Russia,,29-085,
19-Aug-2008,Cycling - Track Sprint Men - Olympic Games 2008,3,B,"Mickaël Bourgain (FRA, 28 May 1980)",France,,28-083,
19-Aug-2008,Cycling - Track Sprint Women - Olympic Games 2008,3,B,"Guo Shuang (CHN, 26 Feb 1986)",China,,22-175,
