"","Year","Pinnacle Result","Pinnacle Time","Athlete","worldsFlag","juniorsFlag","pinnacleFlag","teamFlag","Years Out from Games","Discipline"
"1",2019,8,NA,"Aaron Gate",TRUE,FALSE,TRUE,FALSE,1,"Team Pursuit"
"2",2017,2,147,"Aaron Gate",TRUE,FALSE,TRUE,FALSE,3,"Omnium"
"3",2016,4,NA,"Aaron Gate",FALSE,FALSE,TRUE,FALSE,4,"Team Pursuit"
"4",2015,5,173,"Aaron Gate",TRUE,FALSE,TRUE,FALSE,5,"Omnium"
"5",2014,4,34,"Aaron Gate",TRUE,FALSE,TRUE,FALSE,6,"Omnium"
"6",2014,3,238.989,"Aaron Gate",TRUE,FALSE,TRUE,FALSE,6,"Team Pursuit"
"7",2013,1,18,"Aaron Gate",TRUE,FALSE,TRUE,FALSE,7,"Omnium"
"8",2012,3,NA,"Aaron Gate",FALSE,FALSE,TRUE,FALSE,8,"Team Pursuit"
"9",2017,7,11,"Aaron Wyllie",TRUE,TRUE,TRUE,FALSE,3,"Madison"
"10",2017,3,NA,"Aaron Wyllie",TRUE,TRUE,TRUE,FALSE,3,"Team Pursuit"
"11",2015,1,234.088,"Alex Frame",TRUE,FALSE,TRUE,FALSE,5,"Team Pursuit"
"12",2012,5,NA,"Alison Shanks",FALSE,FALSE,TRUE,FALSE,8,"Team Pursuit"
"13",2019,2,266.067,"Ally Wollaston",TRUE,TRUE,TRUE,FALSE,1,"Team Pursuit"
"14",2018,2,NA,"Ally Wollaston",TRUE,TRUE,TRUE,FALSE,2,"Team Pursuit"
"15",2018,2,NA,"Annamarie Lipp",TRUE,TRUE,TRUE,FALSE,2,"Team Pursuit"
"16",2018,1,241.685,"Bailey O'Donnell",TRUE,TRUE,TRUE,FALSE,2,"Team Pursuit"
"17",2019,3,256.479,"Bryony Botha",TRUE,FALSE,TRUE,FALSE,1,"Team Pursuit"
"18",2018,6,265.384,"Bryony Botha",TRUE,FALSE,TRUE,FALSE,2,"Team Pursuit"
"19",2015,4,164,"Bryony Botha",TRUE,TRUE,TRUE,FALSE,5,"Omnium"
"20",2015,1,271.966,"Bryony Botha",TRUE,TRUE,TRUE,FALSE,5,"Team Pursuit"
"21",2014,3,NA,"Bryony Botha",TRUE,TRUE,TRUE,FALSE,6,"Team Pursuit"
"22",2013,20,NA,"Callum Saunders",TRUE,TRUE,TRUE,FALSE,7,"Sprint"
"23",2013,13,NA,"Callum Saunders",TRUE,TRUE,TRUE,FALSE,7,"Keirin"
"24",2013,4,NA,"Callum Saunders",TRUE,TRUE,TRUE,FALSE,7,"Team Sprint"
"25",2019,1,137,"Campbell Stewart",TRUE,FALSE,TRUE,FALSE,1,"Omnium"
"26",2019,8,NA,"Campbell Stewart",TRUE,FALSE,TRUE,FALSE,1,"Team Pursuit"
"27",2018,5,93,"Campbell Stewart",TRUE,FALSE,TRUE,FALSE,2,"Omnium"
"28",2018,5,238.932,"Campbell Stewart",TRUE,FALSE,TRUE,FALSE,2,"Team Pursuit"
"29",2015,1,191,"Campbell Stewart",TRUE,TRUE,TRUE,FALSE,5,"Omnium"
"30",2013,2,252.298,"Connor Stead",TRUE,TRUE,TRUE,FALSE,7,"Team Pursuit"
"31",2019,4,NA,"Conor Shearing",TRUE,TRUE,TRUE,FALSE,1,"Team Pursuit"
"32",2019,8,NA,"Corbin Strong",TRUE,FALSE,TRUE,FALSE,1,"Team Pursuit"
"33",2018,4,103,"Corbin Strong",TRUE,TRUE,TRUE,FALSE,2,"Omnium"
"34",2018,1,241.685,"Corbin Strong",TRUE,TRUE,TRUE,FALSE,2,"Team Pursuit"
"35",2017,7,11,"Corbin Strong",TRUE,TRUE,TRUE,FALSE,3,"Madison"
"36",2017,5,94,"Corbin Strong",TRUE,TRUE,TRUE,FALSE,3,"Omnium"
"37",2017,3,NA,"Corbin Strong",TRUE,TRUE,TRUE,FALSE,3,"Team Pursuit"
"38",2018,5,238.932,"Dylan Kennett",TRUE,FALSE,TRUE,FALSE,2,"Team Pursuit"
"39",2017,2,233.979,"Dylan Kennett",TRUE,FALSE,TRUE,FALSE,3,"Team Pursuit"
"40",2016,8,143,"Dylan Kennett",FALSE,FALSE,TRUE,FALSE,4,"Omnium"
"41",2016,4,NA,"Dylan Kennett",FALSE,FALSE,TRUE,FALSE,4,"Team Pursuit"
"42",2015,1,234.088,"Dylan Kennett",TRUE,FALSE,TRUE,FALSE,5,"Team Pursuit"
