Date,PhaseName,Rank,Medal,Person/Team,Country, ,Age (days),Result
16-Aug-2016,Cycling - Track 500m Time Trial Women - Olympic Games 2016 500m Time Trial,1,,"Annette Edmondson (AUS, 12 Dec 1991)",Australia,,24-248,34.938
16-Aug-2016,Cycling - Track Flying Lap Women - Olympic Games 2016 Flying Lap,1,,"Laura Kenny (ENG, 24 Apr 1992)",Great Britain,,24-114,13.708
16-Aug-2016,Cycling - Track Keirin Men - Olympic Games 2016,1,G,"Jason Kenny (ENG, 23 Mar 1988)",Great Britain,,28-146,
16-Aug-2016,Cycling - Track Omnium Women - Olympic Games 2016,1,G,"Laura Kenny (ENG, 24 Apr 1992)",Great Britain,,24-114,230
16-Aug-2016,Cycling - Track Points Race Women - Olympic Games 2016 Points Race,1,,"Amalie Dideriksen (DEN, 24 May 1996)",Denmark,,20-084,85
16-Aug-2016,Cycling - Track Sprint Women - Olympic Games 2016,1,G,"Kristina Vogel (GER, 10 Nov 1990)",Germany,,25-280,
15-Aug-2016,Cycling - Track 1km Time Trial Men - Olympic Games 2016 1km Time Trial,1,,"Dylan Kennett (NZL, 08 Dec 1994)",New Zealand,,21-251,1:00.923
15-Aug-2016,Cycling - Track 3km Individual Pursuit Women - Olympic Games 2016 3km Individual Pursuit,1,,"Laura Kenny (ENG, 24 Apr 1992)",Great Britain,,24-113,3:25.054
15-Aug-2016,Cycling - Track Elimination Women - Olympic Games 2016 Elimination,1,,"Laura Kenny (ENG, 24 Apr 1992)",Great Britain,,24-113,
15-Aug-2016,Cycling - Track Flying Lap Men - Olympic Games 2016 Flying Lap,1,,"Dylan Kennett (NZL, 08 Dec 1994)",New Zealand,,21-251,12.506
15-Aug-2016,Cycling - Track Omnium Men - Olympic Games 2016,1,G,"Elia Viviani (ITA, 07 Feb 1989)",Italy,,27-190,207
15-Aug-2016,Cycling - Track Points Race Men - Olympic Games 2016 Points Race,1,,"Fernando Gaviria (COL, 19 Aug 1994)",Colombia,,21-362,41
15-Aug-2016,Cycling - Track Scratch Women - Olympic Games 2016 Scratch,1,,"Tatsyana Sharakova (BLR, 31 Jul 1984)",Belarus,,32-015,
14-Aug-2016,Cycling - Track 4km Individual Pursuit Men - Olympic Games 2016 4km Individual Pursuit,1,,"Lasse Hansen (DEN, 11 Feb 1992)",Denmark,,24-185,4:14.982
14-Aug-2016,Cycling - Track Elimination Men - Olympic Games 2016 Elimination,1,,"Elia Viviani (ITA, 07 Feb 1989)",Italy,,27-189,
14-Aug-2016,Cycling - Track Scratch Men - Olympic Games 2016 Scratch,1,,"Lasse Hansen (DEN, 11 Feb 1992)",Denmark,,24-185,
14-Aug-2016,Cycling - Track Sprint Men - Olympic Games 2016,1,G,"Jason Kenny (ENG, 23 Mar 1988)",Great Britain,,28-144,
13-Aug-2016,Cycling - Track Keirin Women - Olympic Games 2016,1,G,"Elis Ligtlee (NED, 28 Jun 1994)",Netherlands,,22-046,
13-Aug-2016,Cycling - Track Team Pursuit Women - Olympic Games 2016,1,G,Great Britain,Great Britain,,24-032,4:10.236
13-Aug-2016,Cycling - Track Team Pursuit Women - Olympic Games 2016,1,G,"Kate Archibald (SCO, 12 Mar 1994)",Great Britain,,22-154,4:10.236
13-Aug-2016,Cycling - Track Team Pursuit Women - Olympic Games 2016,1,G,"Laura Kenny (ENG, 24 Apr 1992)",Great Britain,,24-111,4:10.236
13-Aug-2016,Cycling - Track Team Pursuit Women - Olympic Games 2016,1,G,"Elinor Barker (WAL, 07 Sep 1994)",Great Britain,,21-341,4:10.236
13-Aug-2016,Cycling - Track Team Pursuit Women - Olympic Games 2016,1,G,"Joanna Rowsell (ENG, 05 Dec 1988)",Great Britain,,27-252,4:10.236
12-Aug-2016,Cycling - Track Team Pursuit Men - Olympic Games 2016,1,G,Great Britain,Great Britain,,29-314,3:50.265
12-Aug-2016,Cycling - Track Team Pursuit Men - Olympic Games 2016,1,G,"Ed Clancy (ENG, 12 Mar 1985)",Great Britain,,31-153,3:50.265
12-Aug-2016,Cycling - Track Team Pursuit Men - Olympic Games 2016,1,G,"Steven Burke (ENG, 04 Mar 1988)",Great Britain,,28-161,3:50.265
12-Aug-2016,Cycling - Track Team Pursuit Men - Olympic Games 2016,1,G,"Owain Doull (WAL, 02 May 1993)",Great Britain,,23-102,3:50.265
12-Aug-2016,Cycling - Track Team Pursuit Men - Olympic Games 2016,1,G,"Bradley Wiggins (ENG, 28 Apr 1980)",Great Britain,,36-106,3:50.265
12-Aug-2016,Cycling - Track Team Sprint Women - Olympic Games 2016,1,G,Gong J J / Zhong T S,China,,27-234,32.107
12-Aug-2016,Cycling - Track Team Sprint Women - Olympic Games 2016,1,G,"Gong Jinjie (CHN, 12 Nov 1986)",China,,29-274,32.107
12-Aug-2016,Cycling - Track Team Sprint Women - Olympic Games 2016,1,G,"Zhong Tianshi (CHN, 02 Feb 1991)",China,,25-192,32.107
11-Aug-2016,Cycling - Track Team Sprint Men - Olympic Games 2016,1,G,Great Britain,Great Britain,,25-151,42.440
11-Aug-2016,Cycling - Track Team Sprint Men - Olympic Games 2016,1,G,"Philip Hindes (ENG, 22 Sep 1992)",Great Britain,,23-324,42.440
11-Aug-2016,Cycling - Track Team Sprint Men - Olympic Games 2016,1,G,"Jason Kenny (ENG, 23 Mar 1988)",Great Britain,,28-141,42.440
11-Aug-2016,Cycling - Track Team Sprint Men - Olympic Games 2016,1,G,"Callum Skinner (SCO, 20 Aug 1992)",Great Britain,,23-357,42.440
07-Aug-2012,Cycling - Track 3km Individual Pursuit Women - Olympic Games 2012 3km Individual Pursuit,1,,"Sarah Hammer (USA, 18 Aug 1983)",United States,,28-355,3:29.554
07-Aug-2012,Cycling - Track 500m Time Trial Women - Olympic Games 2012 500m Time Trial,1,,"Laura Kenny (ENG, 24 Apr 1992)",Great Britain,,20-105,35.110
07-Aug-2012,Cycling - Track Keirin Men - Olympic Games 2012,1,G,"Chris Hoy (SCO, 23 Mar 1976)",Great Britain,,36-137,
07-Aug-2012,Cycling - Track Omnium Women - Olympic Games 2012,1,G,"Laura Kenny (ENG, 24 Apr 1992)",Great Britain,,20-105,18
07-Aug-2012,Cycling - Track Scratch Women - Olympic Games 2012 Scratch,1,,"Annette Edmondson (AUS, 12 Dec 1991)",Australia,,20-239,12:39.697
