Date,PhaseName,Rank,Medal,Person/Team,Country, ,Age (days),Result
16-Aug-2016,Cycling - Track 500m Time Trial Women - Olympic Games 2016 500m Time Trial,2,,"Laura Kenny (ENG, 24 Apr 1992)",Great Britain,,24-114,35.253
16-Aug-2016,Cycling - Track Flying Lap Women - Olympic Games 2016 Flying Lap,2,,"Annette Edmondson (AUS, 12 Dec 1991)",Australia,,24-248,13.878
16-Aug-2016,Cycling - Track Keirin Men - Olympic Games 2016,2,S,"Matthijs Büchli (NED, 13 Dec 1992)",Netherlands,,23-247,
16-Aug-2016,Cycling - Track Omnium Women - Olympic Games 2016,2,S,"Sarah Hammer (USA, 18 Aug 1983)",United States,,32-364,206
16-Aug-2016,Cycling - Track Points Race Women - Olympic Games 2016 Points Race,2,,"Lauren Ellis (NZL, 19 Apr 1989)",New Zealand,,27-119,73
16-Aug-2016,Cycling - Track Sprint Women - Olympic Games 2016,2,S,"Rebecca James (WAL, 29 Nov 1991)",Great Britain,,24-261,
15-Aug-2016,Cycling - Track 1km Time Trial Men - Olympic Games 2016 1km Time Trial,2,,"Glenn O'Shea (AUS, 14 Jun 1989)",Australia,,27-062,1:02.332
15-Aug-2016,Cycling - Track 3km Individual Pursuit Women - Olympic Games 2016 3km Individual Pursuit,2,,"Sarah Hammer (USA, 18 Aug 1983)",United States,,32-363,3:26.988
15-Aug-2016,Cycling - Track Elimination Women - Olympic Games 2016 Elimination,2,,"Jolien D'hoore (BEL, 14 Mar 1990)",Belgium,,26-154,
15-Aug-2016,Cycling - Track Flying Lap Men - Olympic Games 2016 Flying Lap,2,,"Elia Viviani (ITA, 07 Feb 1989)",Italy,,27-190,12.660
15-Aug-2016,Cycling - Track Omnium Men - Olympic Games 2016,2,S,"Mark Cavendish (IOM, 21 May 1985)",Great Britain,,31-086,194
15-Aug-2016,Cycling - Track Points Race Men - Olympic Games 2016 Points Race,2,,"Lasse Hansen (DEN, 11 Feb 1992)",Denmark,,24-186,40
15-Aug-2016,Cycling - Track Scratch Women - Olympic Games 2016 Scratch,2,,"Laura Kenny (ENG, 24 Apr 1992)",Great Britain,,24-113,
14-Aug-2016,Cycling - Track 4km Individual Pursuit Men - Olympic Games 2016 4km Individual Pursuit,2,,"Mark Cavendish (IOM, 21 May 1985)",Great Britain,,31-085,4:16.878
14-Aug-2016,Cycling - Track Elimination Men - Olympic Games 2016 Elimination,2,,"Thomas Boudat (FRA, 24 Feb 1994)",France,,22-172,
14-Aug-2016,Cycling - Track Scratch Men - Olympic Games 2016 Scratch,2,,"Roger Kluge (GER, 05 Feb 1986)",Germany,,30-191,
14-Aug-2016,Cycling - Track Sprint Men - Olympic Games 2016,2,S,"Callum Skinner (SCO, 20 Aug 1992)",Great Britain,,23-360,
13-Aug-2016,Cycling - Track Keirin Women - Olympic Games 2016,2,S,"Rebecca James (WAL, 29 Nov 1991)",Great Britain,,24-258,
13-Aug-2016,Cycling - Track Team Pursuit Women - Olympic Games 2016,2,S,United States,United States,,23-277,4:12.454
13-Aug-2016,Cycling - Track Team Pursuit Women - Olympic Games 2016,2,S,"Sarah Hammer (USA, 18 Aug 1983)",United States,,32-361,4:12.454
13-Aug-2016,Cycling - Track Team Pursuit Women - Olympic Games 2016,2,S,"Kelly Catlin (USA, 03 Nov 1995)",United States,,20-284,4:12.454
13-Aug-2016,Cycling - Track Team Pursuit Women - Olympic Games 2016,2,S,"Chloé Dygert Owen (USA, 01 Jan 1997)",United States,,19-225,4:12.454
13-Aug-2016,Cycling - Track Team Pursuit Women - Olympic Games 2016,2,S,"Jennifer Valente (USA, 24 Dec 1994)",United States,,21-233,4:12.454
12-Aug-2016,Cycling - Track Team Pursuit Men - Olympic Games 2016,2,S,Australia,Australia,,23-021,3:51.008
12-Aug-2016,Cycling - Track Team Pursuit Men - Olympic Games 2016,2,S,"Alexander Edmondson (AUS, 22 Dec 1993)",Australia,,22-234,3:51.008
12-Aug-2016,Cycling - Track Team Pursuit Men - Olympic Games 2016,2,S,"Jack Bobridge (AUS, 13 Jul 1989)",Australia,,27-030,3:51.008
12-Aug-2016,Cycling - Track Team Pursuit Men - Olympic Games 2016,2,S,"Michael Hepburn (AUS, 17 Aug 1991)",Australia,,24-361,3:51.008
12-Aug-2016,Cycling - Track Team Pursuit Men - Olympic Games 2016,2,S,"Sam Welsford (AUS, 19 Jan 1996)",Australia,,20-206,3:51.008
12-Aug-2016,Cycling - Track Team Pursuit Men - Olympic Games 2016,2,S,"Callum Scotson (AUS, 10 Aug 1996)",Australia,,20-002,
12-Aug-2016,Cycling - Track Team Sprint Women - Olympic Games 2016,2,S,Voinova / Shmeleva,Russia,,22-240,32.401
12-Aug-2016,Cycling - Track Team Sprint Women - Olympic Games 2016,2,S,"Daria Shmeleva (RUS, 26 Oct 1994)",Russia,,21-291,32.401
12-Aug-2016,Cycling - Track Team Sprint Women - Olympic Games 2016,2,S,"Anastasiia Voinova (RUS, 05 Feb 1993)",Russia,,23-189,32.401
11-Aug-2016,Cycling - Track Team Sprint Men - Olympic Games 2016,2,S,New Zealand,New Zealand,,25-321,42.542
11-Aug-2016,Cycling - Track Team Sprint Men - Olympic Games 2016,2,S,"Ethan Mitchell (NZL, 19 Feb 1991)",New Zealand,,25-174,42.542
11-Aug-2016,Cycling - Track Team Sprint Men - Olympic Games 2016,2,S,"Sam Webster (NZL, 16 Jul 1991)",New Zealand,,25-026,42.542
11-Aug-2016,Cycling - Track Team Sprint Men - Olympic Games 2016,2,S,"Edward Dawkins (NZL, 11 Jul 1989)",New Zealand,,27-031,42.542
